"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",6.3,5.5,2.6,3.6
"500,2",4.6,4.8,3.7,9.6
"100,5",2.6,3.2,6,4.8
"500,5",3.1,3.4,5.4,2
