"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"Food products","$921.64^{***}$","$416.63^{}$","$34.55^{}$","$-933.95^{}$","$-1855.74^{}$","$-2150.94^{}$","$-2958.36^{}$","$-12606.03^{}$","$-2845.17^{}$","$-2702.83^{}$","df.3"
"2","307.39","-595.83","-992.72","-1160.59","-1261.05","-1299.25","-1354.49","-1391.91","-1412.52","-1397.92","df.3"
"3","354.12","-497.7","-843.17","-959.63","-1008.69","-995.48","-999.32","-985.33","-954.53","-888.53","df.3"
"Fabricated metal products","$221.1^{***}$","$89.04^{***}$","$40.21^{}$","$19.92^{}$","$-43.69^{}$","$-88.88^{}$","$-669.46^{}$","$-265.16^{}$","$-358.56^{}$","$-2068.51^{}$","df.3"
"5","620.93","420.48","351.9","318.98","304.63","299.51","275.56","285.9","278.8","267.35","df.3"
"6","655.09","492.22","461.22","465.88","489.1","521.55","535.18","583.1","613.58","639.71","df.3"
"Textiles","$217.99^{***}$","$118.41^{***}$","$-9.27^{}$","$-21.48^{}$","$-525.19^{}$","$-306.06^{}$","$-514.87^{}$","$-654.83^{}$","$-888.69^{}$","$-682.15^{}$","df.3"
"8","462.25","265.1","168.33","104.41","63.67","59.9","44.09","34.13","32.35","4.17","df.3"
"9","495.03","333.94","273.23","245.37","240.69","272.98","293.23","319.33","353.61","361.48","df.3"
