"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","original_df"
"chemical","$813.56^{}$","$2894.29$","$-8438.5$","$-22723.94$","$-20249.04$","$-220683.34$","$74837.54$","$-30381.4$","$149274.22$","$-12008.12$","df.3"
"2","161.18","-35795.75","-63381.22","-70451.61","-78451.52","-222132.58","-75196.07","-128080.16","-131213.84","-143750.55","df.3"
"3","250.54","-35613.95","-63106.97","-70084.93","-77992.4","-221581.01","-74552.06","-127343.7","-130384.94","-142829.21","df.3"
"electronics","$85393.31^{***}$","$228402.95^{***}$","$-35639.36^{}$","$-78743.48$","$735666.28$","$-9784.42$","$-27854.32$","$-6256.32$","$51780.48$","$20978.77$","df.3"
"5","419.07","-67585.91","-111404.86","-79048.09","-75714.13","-109756.09","-105783.32","-97029.05","-84211.25","-133198.12","df.3"
"6","507.33","-67406.35","-111134","-78685.92","-75260.66","-109211.32","-105147.24","-96301.68","-83392.57","-132288.13","df.3"
"machine","$952.39^{}$","$595219.18$","$46700.88$","$20840.57$","$8911$","$-7352.49$","$20713.2$","$25144.48$","$-1638.39$","$6544.75$","df.3"
"8","675.67","-1445.83","-86005.69","-17091.75","-30821.07","-9547.66","-26738.04","-29324.41","-36613.86","-29905.78","df.3"
"9","764.49","-1265.13","-85733.12","-16727.3","-30364.75","-8999.46","-26097.95","-28592.45","-35790.03","-28990.06","df.3"
