"nom.size","an","N","T","omega"
0.15,0.15,500,2,-6.85309779980658
0.13,0.3,500,2,-6.85309779980658
0.116,0.4,500,2,-6.85309779980658
0.184,0.05,500,2,-22.1299930518858
0.176,0.1,500,2,-22.1299930518858
0.17,0.15,500,2,-22.1299930518858
0.138,0.3,500,2,-22.1299930518858
0.126,0.4,500,2,-22.1299930518858
0.202,0.05,500,2,-9.13040772248909
0.186,0.1,500,2,-9.13040772248909
0.176,0.15,500,2,-9.13040772248909
0.152,0.3,500,2,-9.13040772248909
0.14,0.4,500,2,-9.13040772248909
0.178,0.05,500,2,-26.6171046562776
0.166,0.1,500,2,-26.6171046562776
0.156,0.15,500,2,-26.6171046562776
0.124,0.3,500,2,-26.6171046562776
0.116,0.4,500,2,-26.6171046562776
0.182,0.05,500,2,-8.11474802846037
0.16,0.1,500,2,-8.11474802846037
0.15,0.15,500,2,-8.11474802846037
0.122,0.3,500,2,-8.11474802846037
0.112,0.4,500,2,-8.11474802846037
0.172,0.05,500,2,-19.3060247649694
0.158,0.1,500,2,-19.3060247649694
0.148,0.15,500,2,-19.3060247649694
0.126,0.3,500,2,-19.3060247649694
0.112,0.4,500,2,-19.3060247649694
0.112,0.05,500,2,-5.90832263794922
0.104,0.1,500,2,-5.90832263794922
0.092,0.15,500,2,-5.90832263794922
0.078,0.3,500,2,-5.90832263794922
0.068,0.4,500,2,-5.90832263794922
0.174,0.05,500,2,-12.5122973719256
0.164,0.1,500,2,-12.5122973719256
0.158,0.15,500,2,-12.5122973719256
0.13,0.3,500,2,-12.5122973719256
0.12,0.4,500,2,-12.5122973719256
0.116,0.05,500,2,-7.44419423015931
0.106,0.1,500,2,-7.44419423015931
0.094,0.15,500,2,-7.44419423015931
0.08,0.3,500,2,-7.44419423015931
0.07,0.4,500,2,-7.44419423015931
0.176,0.05,500,2,-14.4679817031187
0.17,0.1,500,2,-14.4679817031187
0.158,0.15,500,2,-14.4679817031187
0.134,0.3,500,2,-14.4679817031187
0.124,0.4,500,2,-14.4679817031187
0.1,0.05,500,10,-4.50490334495273
0.1,0.1,500,10,-4.50490334495273
0.1,0.15,500,10,-4.50490334495273
0.1,0.3,500,10,-4.50490334495273
0.1,0.4,500,10,-4.50490334495273
0.106,0.05,500,10,-14.2209118033605
0.106,0.1,500,10,-14.2209118033605
0.106,0.15,500,10,-14.2209118033605
0.106,0.3,500,10,-14.2209118033605
0.104,0.4,500,10,-14.2209118033605
0.1,0.05,500,10,-6.85309779980658
0.1,0.1,500,10,-6.85309779980658
0.1,0.15,500,10,-6.85309779980658
0.1,0.3,500,10,-6.85309779980658
0.1,0.4,500,10,-6.85309779980658
0.106,0.05,500,10,-22.1299930518858
0.106,0.1,500,10,-22.1299930518858
0.106,0.15,500,10,-22.1299930518858
0.106,0.3,500,10,-22.1299930518858
0.104,0.4,500,10,-22.1299930518858
0.096,0.05,500,10,-9.13040772248909
0.096,0.1,500,10,-9.13040772248909
0.096,0.15,500,10,-9.13040772248909
0.096,0.3,500,10,-9.13040772248909
0.096,0.4,500,10,-9.13040772248909
0.106,0.05,500,10,-26.6171046562776
0.106,0.1,500,10,-26.6171046562776
0.106,0.15,500,10,-26.6171046562776
0.106,0.3,500,10,-26.6171046562776
0.104,0.4,500,10,-26.6171046562776
0.096,0.05,500,10,-8.11474802846037
0.096,0.1,500,10,-8.11474802846037
0.096,0.15,500,10,-8.11474802846037
0.096,0.3,500,10,-8.11474802846037
0.096,0.4,500,10,-8.11474802846037
0.106,0.05,500,10,-19.3060247649694
0.106,0.1,500,10,-19.3060247649694
0.106,0.15,500,10,-19.3060247649694
0.106,0.3,500,10,-19.3060247649694
0.104,0.4,500,10,-19.3060247649694
0.1,0.05,500,10,-5.90832263794922
0.1,0.1,500,10,-5.90832263794922
0.1,0.15,500,10,-5.90832263794922
0.1,0.3,500,10,-5.90832263794922
0.1,0.4,500,10,-5.90832263794922
0.106,0.05,500,10,-12.5122973719256
0.106,0.1,500,10,-12.5122973719256
0.106,0.15,500,10,-12.5122973719256
0.106,0.3,500,10,-12.5122973719256
0.104,0.4,500,10,-12.5122973719256
0.1,0.05,500,10,-7.44419423015931
0.1,0.1,500,10,-7.44419423015931
0.1,0.15,500,10,-7.44419423015931
0.1,0.3,500,10,-7.44419423015931
0.1,0.4,500,10,-7.44419423015931
0.106,0.05,500,10,-14.4679817031187
0.106,0.1,500,10,-14.4679817031187
0.106,0.15,500,10,-14.4679817031187
0.106,0.3,500,10,-14.4679817031187
0.104,0.4,500,10,-14.4679817031187
