"nom.size","an","N","T","omega"
0.082,0.001,100,2,1
0.076,0.005,100,2,1
0.07,0.01,100,2,1
0.056,0.05,100,2,1
0.042,0.1,100,2,1
0.05,0.2,100,2,1
0.054,0.3,100,2,1
0.042,0.4,100,2,1
0.038,0.001,100,5,1
0.038,0.005,100,5,1
0.046,0.01,100,5,1
0.04,0.05,100,5,1
0.052,0.1,100,5,1
0.054,0.2,100,5,1
0.038,0.3,100,5,1
0.04,0.4,100,5,1
0.04,0.001,100,10,1
0.06,0.005,100,10,1
0.048,0.01,100,10,1
0.026,0.05,100,10,1
0.042,0.1,100,10,1
0.044,0.2,100,10,1
0.04,0.3,100,10,1
0.032,0.4,100,10,1
0.052,0.001,500,2,1
0.046,0.005,500,2,1
0.056,0.01,500,2,1
0.058,0.05,500,2,1
0.034,0.1,500,2,1
0.032,0.2,500,2,1
0.034,0.3,500,2,1
0.04,0.4,500,2,1
0.026,0.001,500,5,1
0.032,0.005,500,5,1
0.032,0.01,500,5,1
0.042,0.05,500,5,1
0.072,0.1,500,5,1
0.03,0.2,500,5,1
0.018,0.3,500,5,1
0.056,0.4,500,5,1
0.03,0.001,500,10,1
0.026,0.005,500,10,1
0.024,0.01,500,10,1
0.044,0.05,500,10,1
0.044,0.1,500,10,1
0.038,0.2,500,10,1
0.04,0.3,500,10,1
0.034,0.4,500,10,1
