"nom.size","an","N","T","omega"
0.098,0.01,100,2,-13.0844400462228
0.066,0.05,100,2,-13.0844400462228
0.036,0.1,100,2,-13.0844400462228
0.05,0.2,100,2,-13.0844400462228
0.05,0.3,100,2,-13.0844400462228
0.032,0.4,100,2,-13.0844400462228
0.094,0.01,100,2,-11.1219067611158
0.08,0.05,100,2,-11.1219067611158
0.074,0.1,100,2,-11.1219067611158
0.066,0.2,100,2,-11.1219067611158
0.056,0.3,100,2,-11.1219067611158
0.058,0.4,100,2,-11.1219067611158
0.066,0.01,100,10,-7.52034284870614
0.048,0.05,100,10,-7.52034284870614
0.04,0.1,100,10,-7.52034284870614
0.044,0.2,100,10,-7.52034284870614
0.042,0.3,100,10,-7.52034284870614
0.05,0.4,100,10,-7.52034284870614
0.056,0.01,100,10,-6.61941216140538
0.044,0.05,100,10,-6.61941216140538
0.04,0.1,100,10,-6.61941216140538
0.038,0.2,100,10,-6.61941216140538
0.034,0.3,100,10,-6.61941216140538
0.028,0.4,100,10,-6.61941216140538
0.056,0.01,100,10,-7.37900605698019
0.036,0.05,100,10,-7.37900605698019
0.048,0.1,100,10,-7.37900605698019
0.036,0.2,100,10,-7.37900605698019
0.036,0.3,100,10,-7.37900605698019
0.04,0.4,100,10,-7.37900605698019
0.048,0.01,100,10,-6.47822011386786
0.036,0.05,100,10,-6.47822011386786
0.05,0.1,100,10,-6.47822011386786
0.036,0.2,100,10,-6.47822011386786
0.036,0.3,100,10,-6.47822011386786
0.026,0.4,100,10,-6.47822011386786
0.038,0.01,100,10,-8.8355906761459
0.046,0.05,100,10,-8.8355906761459
0.034,0.1,100,10,-8.8355906761459
0.04,0.2,100,10,-8.8355906761459
0.05,0.3,100,10,-8.8355906761459
0.046,0.4,100,10,-8.8355906761459
0.062,0.01,100,10,-7.69457671655681
0.044,0.05,100,10,-7.69457671655681
0.052,0.1,100,10,-7.69457671655681
0.05,0.2,100,10,-7.69457671655681
0.036,0.3,100,10,-7.69457671655681
0.032,0.4,100,10,-7.69457671655681
0.05,0.01,100,10,-8.69855670836281
0.028,0.05,100,10,-8.69855670836281
0.038,0.1,100,10,-8.69855670836281
0.028,0.2,100,10,-8.69855670836281
0.034,0.3,100,10,-8.69855670836281
0.036,0.4,100,10,-8.69855670836281
0.044,0.01,100,10,-7.5584287942071
0.042,0.05,100,10,-7.5584287942071
0.044,0.1,100,10,-7.5584287942071
0.04,0.2,100,10,-7.5584287942071
0.026,0.3,100,10,-7.5584287942071
0.03,0.4,100,10,-7.5584287942071
0.024,0.01,100,10,-10.1508385035857
0.04,0.05,100,10,-10.1508385035857
0.036,0.1,100,10,-10.1508385035857
