nom.size,an,N,T,omega
0.062,0.001,100,5,0.254410038
0.058,0.005,100,5,0.254410038
0.054,1.00E-05,100,5,0.367062425
0.056,5.00E-05,100,5,0.367062425
0.056,1.00E-04,100,5,0.367062425
0.054,5.00E-04,100,5,0.367062425
0.056,0.001,100,5,0.367062425
0.05,0.005,100,5,0.367062425
0.038,1.00E-05,100,5,1.672419869
0.038,5.00E-05,100,5,1.672419869
0.04,1.00E-04,100,5,1.672419869
0.04,5.00E-04,100,5,1.672419869
0.036,0.001,100,5,1.672419869
0.034,0.005,100,5,1.672419869
0.056,1.00E-05,100,5,0.61429924
0.056,5.00E-05,100,5,0.61429924
0.054,1.00E-04,100,5,0.61429924
0.056,5.00E-04,100,5,0.61429924
0.056,0.001,100,5,0.61429924
0.052,0.005,100,5,0.61429924
0.04,1.00E-05,100,5,36.73680057
0.042,5.00E-05,100,5,36.73680057
0.038,1.00E-04,100,5,36.73680057
0.036,5.00E-04,100,5,36.73680057
0.036,0.001,100,5,36.73680057
0.036,0.005,100,5,36.73680057
0.06,1.00E-05,100,5,-0.307558483
0.06,5.00E-05,100,5,-0.307558483
0.06,1.00E-04,100,5,-0.307558483
0.06,5.00E-04,100,5,-0.307558483
0.056,0.001,100,5,-0.307558483
0.054,0.005,100,5,-0.307558483
0.066,1.00E-05,100,5,-0.279235679
0.068,5.00E-05,100,5,-0.279235679
0.064,1.00E-04,100,5,-0.279235679
0.068,5.00E-04,100,5,-0.279235679
0.066,0.001,100,5,-0.279235679
0.058,0.005,100,5,-0.279235679
0.07,1.00E-05,100,5,-0.364435441
0.07,5.00E-05,100,5,-0.364435441
0.066,1.00E-04,100,5,-0.364435441
0.07,5.00E-04,100,5,-0.364435441
0.066,0.001,100,5,-0.364435441
0.064,0.005,100,5,-0.364435441
0.06,1.00E-05,100,5,0.299406169
0.06,5.00E-05,100,5,0.299406169
0.062,1.00E-04,100,5,0.299406169
0.062,5.00E-04,100,5,0.299406169
0.06,0.001,100,5,0.299406169
0.058,0.005,100,5,0.299406169
0.054,1.00E-05,100,5,-0.001040847
0.056,5.00E-05,100,5,-0.001040847
0.052,1.00E-04,100,5,-0.001040847
0.054,5.00E-04,100,5,-0.001040847
0.056,0.001,100,5,-0.001040847
0.052,0.005,100,5,-0.001040847
0.062,1.00E-05,100,5,0.50365193
0.062,5.00E-05,100,5,0.50365193
0.064,1.00E-04,100,5,0.50365193
0.064,5.00E-04,100,5,0.50365193
0.066,0.001,100,5,0.50365193
0.06,0.005,100,5,0.50365193
0.028,1.00E-05,100,10,-0.766159318
0.028,5.00E-05,100,10,-0.766159318
0.028,1.00E-04,100,10,-0.766159318
0.028,5.00E-04,100,10,-0.766159318
0.028,0.001,100,10,-0.766159318
0.028,0.005,100,10,-0.766159318
0.03,1.00E-05,100,10,-0.651426597
0.03,5.00E-05,100,10,-0.651426597
0.03,1.00E-04,100,10,-0.651426597
0.03,5.00E-04,100,10,-0.651426597
0.03,0.001,100,10,-0.651426597
0.03,0.005,100,10,-0.651426597
0.03,1.00E-05,100,10,-0.809785959
0.03,5.00E-05,100,10,-0.809785959
0.03,1.00E-04,100,10,-0.809785959
0.03,5.00E-04,100,10,-0.809785959
0.03,0.001,100,10,-0.809785959
0.03,0.005,100,10,-0.809785959
0.038,1.00E-05,100,10,-0.303543687
0.038,5.00E-05,100,10,-0.303543687
0.038,1.00E-04,100,10,-0.303543687
0.038,5.00E-04,100,10,-0.303543687
0.038,0.001,100,10,-0.303543687
0.038,0.005,100,10,-0.303543687
0.044,1.00E-05,100,10,-0.404451011
0.044,5.00E-05,100,10,-0.404451011
0.044,1.00E-04,100,10,-0.404451011
0.044,5.00E-04,100,10,-0.404451011
0.044,0.001,100,10,-0.404451011
0.044,0.005,100,10,-0.404451011
0.042,1.00E-05,100,10,-0.231978615
0.042,5.00E-05,100,10,-0.231978615
0.042,1.00E-04,100,10,-0.231978615
0.042,5.00E-04,100,10,-0.231978615
0.042,0.001,100,10,-0.231978615
0.042,0.005,100,10,-0.231978615
0.022,1.00E-05,100,10,0.477151753
0.022,5.00E-05,100,10,0.477151753
0.022,1.00E-04,100,10,0.477151753
0.022,5.00E-04,100,10,0.477151753
0.022,0.001,100,10,0.477151753
0.022,0.005,100,10,0.477151753
0.038,1.00E-05,100,10,0.254410038
0.038,5.00E-05,100,10,0.254410038
0.038,1.00E-04,100,10,0.254410038
0.038,5.00E-04,100,10,0.254410038
0.038,0.001,100,10,0.254410038
0.038,0.005,100,10,0.254410038
0.028,1.00E-05,100,10,0.367062425
0.028,5.00E-05,100,10,0.367062425
0.028,1.00E-04,100,10,0.367062425
0.028,5.00E-04,100,10,0.367062425
0.028,0.001,100,10,0.367062425
0.028,0.005,100,10,0.367062425
0.022,1.00E-05,100,10,1.672419869
0.022,5.00E-05,100,10,1.672419869
0.022,1.00E-04,100,10,1.672419869
0.022,5.00E-04,100,10,1.672419869
0.022,0.001,100,10,1.672419869
0.022,0.005,100,10,1.672419869
0.05,1.00E-05,100,10,0.61429924
0.05,5.00E-05,100,10,0.61429924
0.05,1.00E-04,100,10,0.61429924
0.05,5.00E-04,100,10,0.61429924
0.05,0.001,100,10,0.61429924
0.05,0.005,100,10,0.61429924
0.034,1.00E-05,100,10,36.73680057
0.034,5.00E-05,100,10,36.73680057
0.034,1.00E-04,100,10,36.73680057
0.034,5.00E-04,100,10,36.73680057
0.034,0.001,100,10,36.73680057
0.034,0.005,100,10,36.73680057
0.028,1.00E-05,100,10,-0.307558483
0.028,5.00E-05,100,10,-0.307558483
0.028,1.00E-04,100,10,-0.307558483
0.028,5.00E-04,100,10,-0.307558483
0.028,0.001,100,10,-0.307558483
0.028,0.005,100,10,-0.307558483
0.026,1.00E-05,100,10,-0.279235679
0.026,5.00E-05,100,10,-0.279235679
0.026,1.00E-04,100,10,-0.279235679
0.026,5.00E-04,100,10,-0.279235679
0.026,0.001,100,10,-0.279235679
0.026,0.005,100,10,-0.279235679
0.034,1.00E-05,100,10,-0.364435441
0.034,5.00E-05,100,10,-0.364435441
0.034,1.00E-04,100,10,-0.364435441
0.034,5.00E-04,100,10,-0.364435441
0.034,0.001,100,10,-0.364435441
0.034,0.005,100,10,-0.364435441
0.042,1.00E-05,100,10,0.299406169
0.042,5.00E-05,100,10,0.299406169
0.042,1.00E-04,100,10,0.299406169
0.042,5.00E-04,100,10,0.299406169
0.042,0.001,100,10,0.299406169
0.042,0.005,100,10,0.299406169
0.048,1.00E-05,100,10,-0.001040847
0.048,5.00E-05,100,10,-0.001040847
0.048,1.00E-04,100,10,-0.001040847
0.048,5.00E-04,100,10,-0.001040847
0.048,0.001,100,10,-0.001040847
0.048,0.005,100,10,-0.001040847
0.032,1.00E-05,100,10,0.50365193
0.032,5.00E-05,100,10,0.50365193
0.032,1.00E-04,100,10,0.50365193
0.032,5.00E-04,100,10,0.50365193
0.032,0.001,100,10,0.50365193
0.032,0.005,100,10,0.50365193
0.044,1.00E-05,500,2,-0.766159318
0.044,5.00E-05,500,2,-0.766159318
0.044,1.00E-04,500,2,-0.766159318
0.044,5.00E-04,500,2,-0.766159318
0.044,0.001,500,2,-0.766159318
0.042,0.005,500,2,-0.766159318
0.038,1.00E-05,500,2,-0.651426597
0.038,5.00E-05,500,2,-0.651426597
0.038,1.00E-04,500,2,-0.651426597
0.04,5.00E-04,500,2,-0.651426597
0.038,0.001,500,2,-0.651426597
0.036,0.005,500,2,-0.651426597
0.056,1.00E-05,500,2,-0.809785959
0.056,5.00E-05,500,2,-0.809785959
0.058,1.00E-04,500,2,-0.809785959
0.056,5.00E-04,500,2,-0.809785959
0.056,0.001,500,2,-0.809785959
0.056,0.005,500,2,-0.809785959
0.034,1.00E-05,500,2,-0.303543687
0.034,5.00E-05,500,2,-0.303543687
0.034,1.00E-04,500,2,-0.303543687
0.034,5.00E-04,500,2,-0.303543687
0.034,0.001,500,2,-0.303543687
0.032,0.005,500,2,-0.303543687
0.032,1.00E-05,500,2,-0.404451011
0.034,5.00E-05,500,2,-0.404451011
0.034,1.00E-04,500,2,-0.404451011
0.034,5.00E-04,500,2,-0.404451011
0.034,0.001,500,2,-0.404451011
0.032,0.005,500,2,-0.404451011
0.044,1.00E-05,500,2,-0.231978615
0.044,5.00E-05,500,2,-0.231978615
0.044,1.00E-04,500,2,-0.231978615
0.042,5.00E-04,500,2,-0.231978615
0.042,0.001,500,2,-0.231978615
0.042,0.005,500,2,-0.231978615
0.064,1.00E-05,500,2,0.477151753
0.062,5.00E-05,500,2,0.477151753
0.064,1.00E-04,500,2,0.477151753
0.062,5.00E-04,500,2,0.477151753
0.06,0.001,500,2,0.477151753
0.054,0.005,500,2,0.477151753
0.05,1.00E-05,500,2,0.254410038
0.05,5.00E-05,500,2,0.254410038
0.05,1.00E-04,500,2,0.254410038
0.048,5.00E-04,500,2,0.254410038
0.048,0.001,500,2,0.254410038
0.044,0.005,500,2,0.254410038
0.038,1.00E-05,500,2,0.367062425
0.04,5.00E-05,500,2,0.367062425
0.036,1.00E-04,500,2,0.367062425
0.038,5.00E-04,500,2,0.367062425
0.036,0.001,500,2,0.367062425
0.03,0.005,500,2,0.367062425
0.094,1.00E-05,500,2,1.672419869
0.094,5.00E-05,500,2,1.672419869
0.09,1.00E-04,500,2,1.672419869
0.082,5.00E-04,500,2,1.672419869
0.074,0.001,500,2,1.672419869
0.068,0.005,500,2,1.672419869
0.042,1.00E-05,500,2,0.61429924
0.04,5.00E-05,500,2,0.61429924
0.04,1.00E-04,500,2,0.61429924
0.04,5.00E-04,500,2,0.61429924
0.04,0.001,500,2,0.61429924
0.038,0.005,500,2,0.61429924
0.08,1.00E-05,500,2,36.73680057
0.07,5.00E-05,500,2,36.73680057
0.07,1.00E-04,500,2,36.73680057
0.068,5.00E-04,500,2,36.73680057
0.058,0.001,500,2,36.73680057
0.046,0.005,500,2,36.73680057
0.054,1.00E-05,500,2,-0.307558483
0.052,5.00E-05,500,2,-0.307558483
0.052,1.00E-04,500,2,-0.307558483
