"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",4.15,6.3,2.65,2.85
"500,2",5.5,4.7,4.55,6
"100,5",10.95,4.55,6.35,3.8
"500,5",3.5,9,6.8,6.05
"100,10",4.65,3.25,7.3,9.65
"500,10",15.55,10.55,7.55,10.9
