"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",16.3,13.55,10.6,14.65
"500,2",9.35,8.3,9.05,12.1
"100,5",10.6,9.3,9.35,15.9
"500,5",12.85,8.1,9,16.95
"100,10",10.45,10.4,7.5,8.6
"500,10",12.35,19.3,16.7,17.45
