"","c(-1, 1),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)"
"200,5",4,6.8,5.8,5
"400,5",5.4,3.6,5,4
"200,5",3.2,6.4,5.4,4.8
"400,5",6,3.8,5,2.8
"200,5",3.4,5.6,4.4,4.2
"400,5",5.6,3.6,5.6,3.2
