"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",40,27.9,32.6,22.75
"500,2",13.2,26.7,15.8,12.9
"100,5",20.7,12.3,17.65,24.05
"500,5",7.25,8.75,8,7.7
"100,10",9.2,11.6,6.7,8.2
"500,10",8.5,13.4,7.75,8.6
