"","c(-1, 1),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)"
"200,8",4.2,3.6,5.2,4.2
"400,8",5.6,5.2,4.2,6
"200,8",4.4,3.8,5.6,4
"400,8",5.8,4,4.4,5.8
"200,8",3.8,3.4,5,4
"400,8",5.8,4.4,5.4,5.6
