"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,2",4,4.8,4.6,3.2
"400,2",5,5,3.6,2.8
"200,2",4.2,4.4,5,3.8
"400,2",4.4,4.4,5.2,2.8
"200,2",4.4,4.6,4.2,4
"400,2",4.2,3.6,4,2.4
