"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",5.4,4.5,5.35,5.65
"400,3",5,3.6,5.2,5.45
"200,5",4.4,3.5,5.75,3.8
"400,5",4.05,4.15,4.8,3.5
"200,8",4.25,3.85,4.6,4
"400,8",3.1,4,4.9,4.2
