"","c(-4, 0, 4),c(0.333333333333333, 0.333333333333333, 0.333333333333333)","c(-4, 0, 6),c(0.333333333333333, 0.333333333333333, 0.333333333333333)","c(-6, 0, 6),c(0.333333333333333, 0.333333333333333, 0.333333333333333)","c(-4, 0, 4),c(0.25, 0.5, 0.25)","c(-4, 0, 6),c(0.25, 0.5, 0.25)","c(-6, 0, 6),c(0.25, 0.5, 0.25)"
"100,2",5.95,5.15,5.05,5.05,5.85,4.4
"500,2",5.6,5.55,5.25,5.1,5.65,4.05
"100,5",4.3,6,4.2,5.15,5.1,5.7
"500,5",4.2,4.55,3.95,4.5,4.15,4.15
