"","c(-1, 1),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)"
"200,2",4,6,4.2,21.2
"400,2",3.2,1,5,12.8
"200,2",7.6,13.2,11.8,46.4
"400,2",4.2,2.2,9,22.8
"200,2",9.2,16,18.8,56.8
"400,2",5,2.4,11.6,28.8
