"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",3,4.6,5.4,5.4
"400,3",4.4,8.6,5.8,5.6
"200,5",4.6,6.2,3.6,8
"400,5",5.4,7,4.8,3.8
"200,8",3.6,7.6,5.6,1.6
"400,8",4.6,6.4,5,7.4
