"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",5.55,4.6,5.7,5.25
"400,3",5,3.3,5,5.1
"200,5",4.15,3.55,5.55,3.8
"400,5",3.85,4,4.55,3.4
"200,8",4.2,3.7,4.35,3.6
"400,8",3,3.9,4.8,3.85
