"","c(-1, 1),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)"
"200,2",5.2,3,4.4,2.2
"400,2",2.8,3.6,5.8,3.4
"200,2",3.6,2,3.6,2.4
"400,2",5.4,1.6,6,2
"200,2",4.8,2.2,3.8,2.8
"400,2",4.4,1.6,5.2,3
