"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",5.1,6.3,4.15,5.6
"400,3",4.05,4.7,2.4,3.2
"200,5",4.05,5.35,3.2,3.05
"400,5",4.35,4.65,2.9,2.8
"200,8",3.75,4.15,2.95,3.4
"400,8",3.45,3.9,2.85,3.05
