"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",1.1,1.2,1.1,0.8
"500,2",2.6,2.6,0.7,1
"100,5",3,3.6,1.2,1.4
"500,5",3.7,3.2,2.7,2.4
