"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,4",0.012,0.008,0.012,0.002
"400,4",0.012,0.022,0.016,0.018
"200,6",0.014,0.07,0.042,0.072
"400,6",0.064,0.08,0.054,0.098
