"","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.3, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.3, 0.1)","c(-1, 1),c(0.2, 0.8),c(-1, 1),c(0.3, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(-1, 1),c(0.3, 0.1)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-1, 1),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)"
"200,2",18,21,18,20,24,23,24,20
"500,2",16,13,16,13,10,19,15,7
