"","V1","V2","V3","V4"
"200,5","0,0.92,0.08,0,0","0,0.98,0.02,0,0","0,0.96,0.03,0,0.01","0,0.98,0.02,0,0"
"500,5","0,0.99,0.01,0,0","0,1,0,0,0","0,0.97,0.03,0,0","0,1,0,0,0"
