"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,5","0,0.632,0.316,0.048,0.004","0,0.668,0.28,0.052,0","0,0.708,0.268,0.024,0","0,0.756,0.216,0.026,0.002"
"500,5","0,0.592,0.32,0.084,0.004","0,0.612,0.338,0.044,0.006","0,0.652,0.294,0.05,0.004","0,0.67,0.274,0.048,0.008"
