"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,2",2.8,5,1.6,1.2
"400,2",3.4,4,1.6,2.6
"200,5",3.6,3.6,2.6,3.6
"400,5",3.6,4.4,3.8,3.2
"200,2",5.4,7.6,4.8,9
"400,2",4,5.8,3.8,6.4
"200,5",3.8,4.4,3.8,4.6
"400,5",3.6,4.6,3.8,4.2
"200,2",5.8,9.2,7.6,14.2
"400,2",4.2,6.4,3.8,8.6
"200,5",3.8,4.4,3.8,4.6
"400,5",3.6,4.8,3.8,4.2
