"","c(-4, 0, 4),c(0.333333333333333, 0.333333333333333, 0.333333333333333)","c(-4, 0, 6),c(0.333333333333333, 0.333333333333333, 0.333333333333333)","c(-6, 0, 6),c(0.333333333333333, 0.333333333333333, 0.333333333333333)","c(-4, 0, 4),c(0.25, 0.5, 0.25)","c(-4, 0, 6),c(0.25, 0.5, 0.25)","c(-6, 0, 6),c(0.25, 0.5, 0.25)"
"100,2",2.1,2,1.65,1.4,2.15,1.55
"500,2",4.2,3.95,4.15,3.95,3.9,3.1
"100,5",3.45,4,3.1,3.85,3.65,3.8
"500,5",4,4.5,3.85,4.1,3.9,3.75
