"","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.3, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.3, 0.1)","c(-1, 1),c(0.2, 0.8),c(-1, 1),c(0.3, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(-1, 1),c(0.3, 0.1)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-1, 1),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)"
"200,5",15,7,10,5,10,8,8,5
"500,5",6,7,2,11,8,7,3,9
