"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,2",3,1.4,2.6,0
"400,2",3.2,2.2,0.8,0.8
"200,3",4.2,3.4,2.6,1.8
"400,3",6.2,3.8,5.6,1.4
"200,2",6.6,3.8,6.2,1.8
"400,2",3.8,3.6,1.8,2.2
"200,3",4.8,6,4.6,3
"400,3",7,3.6,7.6,2.6
"200,2",6.8,5,7,3.6
"400,2",3.6,3.6,1.8,2.6
"200,3",4.8,5.6,4.4,3.4
"400,3",7.2,3.6,7.6,2.4
