"","c(-1, 1),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)"
"200,3",4.8,4.8,5.2,2.8
"400,3",6,5.2,6,4.2
"200,3",6,3.8,4,2.8
"400,3",5,4,5.4,3.6
"200,3",5.4,4.2,4,2.8
"400,3",5,5,5,3.2
