"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",7.7,5.4,6.25,2.35
"400,3",6.6,5.15,5.45,4.4
"200,5",6.75,5.1,6.45,3.9
"400,5",6.7,6.1,6.05,4.85
"200,8",6.5,5.55,5.05,4.95
"400,8",5.5,6.2,6,5.2
