"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,4",0.076,0.042,0.116,0.156
"400,4",0.062,0.046,0.07,0.106
"200,6",0.62,0.694,0.71,0.908
"400,6",0.47,0.458,0.446,0.81
