"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"100,2",6.9,6.4,5.9,5.3
"500,2",5.1,5.1,3.5,3.7
"100,5",6.5,7.8,4.1,4.7
"500,5",4.8,5.1,3.4,4.3
