"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",3.8,8.8,6.8,5.6
"400,3",6.2,3,5.6,6.2
"200,5",4,5.8,6.8,4.6
"400,5",4,7,6.4,3.2
"200,8",5.4,4.8,5.8,4.2
"400,8",5.4,5,5,5.2
