"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,4",0.416,0.022,0.162,0.008
"400,4",0.514,0.012,0.254,0.016
"200,6",0.796,0.526,0.618,0.528
"400,6",0.798,0.264,0.458,0.28
