"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,4",0.016,0.008,0.016,0.004
"400,4",0.01,0.022,0.014,0.016
"200,6",0.008,0.064,0.034,0.062
"400,6",0.084,0.072,0.058,0.082
