"","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-1, 1),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)"
"200,5","0,0.638,0.312,0.044,0.006","0,0.55,0.348,0.09,0.012","0,0.748,0.212,0.038,0.002","0,0.71,0.234,0.05,0.006"
"500,5","0,0.566,0.354,0.068,0.012","0,0.382,0.416,0.16,0.042","0,0.658,0.308,0.034,0","0,0.606,0.324,0.068,0.002"
