"","V1","V2","V3","V4"
"200,5","0,0.84,0.15,0.01,0","0,0.95,0.03,0.01,0.01","0,0.87,0.12,0.01,0","0,0.94,0.05,0.01,0"
"500,5","0,0.95,0.05,0,0","0,0.93,0.06,0.01,0","0,0.94,0.06,0,0","0"
