"","c(-1, 1),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.5, 0.5),c(1, 1),c(0.8, 1.2)","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.8, 1.2)"
"200,2",1.6,2.8,2.2,6.6
"400,2",1.4,0.6,3.2,6.8
"200,5",2.2,1.6,1.6,2
"400,5",1.4,1.8,3.2,1.2
"200,2",10.2,16.4,17.4,60.4
"400,2",5.2,3,11.4,30.2
"200,5",2.8,3,2.8,2.8
"400,5",1.6,2,4.4,2.8
"200,2",19.2,44,44.2,84
"400,2",5.4,5.8,18.2,50.8
"200,5",3,3.6,3.2,3.4
"400,5",1.6,2,4.4,2.6
