"","V1","V2","V3","V4"
"200,5","0,0.34,0.39,0.23,0.04","0,0.45,0.38,0.14,0.03","0,0.36,0.42,0.14,0.08","0,0.31,0.44,0.21,0.04"
"500,5","0,0.29,0.36,0.24,0.11","0,0.3,0.49,0.16,0.05","0,0.23,0.48,0.23,0.06","0,0.2,0.55,0.22,0.03"
