"","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-1, 1),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)"
"200,5","0,0.982,0.014,0,0.004","0,0.986,0.014,0,0","0,0.982,0.01,0.002,0.006","0,0.982,0.008,0,0.01"
"500,5","0,0.98,0.02,0,0","0,0.986,0.014,0,0","0,0.984,0.012,0,0.004","0,0.98,0.016,0,0.004"
