"","c(-1, 1),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(1, 1),c(0.1, 0.1)","c(-1, 1),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)","c(-0.5, 0.5),c(0.2, 0.8),c(-1, 1),c(0.1, 0.1)"
"200,5","0,1,0,0,0","0,0.998,0.002,0,0","0,0.998,0.002,0,0","0,1,0,0,0"
"500,5","0,0.998,0.002,0,0","0,1,0,0,0","0,1,0,0,0","0,1,0,0,0"
