"","V1","V2","V3","V4"
"200,5","0,0.36,0.39,0.2,0.05","0,0.42,0.45,0.12,0.01","0,0.35,0.42,0.16,0.07","0,0.31,0.44,0.2,0.05"
"500,5","0,0.27,0.36,0.3,0.07","0,0.29,0.49,0.16,0.06","0,0.23,0.5,0.22,0.05","0"
