"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,5","0,0.944,0.056,0,0","0,0.954,0.046,0,0","0,0.966,0.034,0,0","0.002,0.954,0.044,0,0"
"500,5","0,0.956,0.044,0,0","0,0.96,0.04,0,0","0,0.956,0.044,0,0","0,0.97,0.03,0,0"
