"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,3",2.6,7.2,7,5.2
"400,3",6,1.8,5.2,5.6
"200,5",3.4,5.8,5,4.6
"400,5",5.6,5.6,5.8,4.2
"200,8",5.2,4,2.4,4
"400,8",6.2,4,5.8,6
