"","c(-1, 1),c(0.5, 0.5)","c(-0.5, 0.5),c(0.5, 0.5)","c(-1, 1),c(0.2, 0.8)","c(-0.5, 0.5),c(0.2, 0.8)"
"200,5","0,0.992,0.008,0,0","0,0.996,0.004,0,0","0,0.994,0.006,0,0","0.01,0.988,0.002,0,0"
"500,5","0,0.998,0.002,0,0","0,0.994,0.006,0,0","0,0.994,0.006,0,0","0,0.996,0.004,0,0"
