"padron"	"year"	"ciiu"	"rY"	"d_e"	"d_m"	"rexport"	"rMi"	"L"	"rM"	"markup"
52533	96	3220	860952.9	0	0	0	0	108	323405	.3499076
52857	90	3220	58438	0	0	0	0	11	23842	.4585201
52857	91	3220	51992.79	0	0	0	0	11	21920.2	.4095649
52857	92	3220	51314.93	0	0	0	0	11	18728.02	.4443738
52857	93	3220	64971.06	0	0	0	0	14	26271.87	.3989196
52857	94	3220	70029.62	0	0	0	0	15	32839.36	.2856215
52857	95	3220	60192.83	0	0	0	0	15	18123.33	.3913413
52857	96	3220	66191.25	0	0	0	0	12	35964.04	.1849044
53685	90	3220	48683	0	0	0	0	30	11456	.5276175
53685	91	3220	57674.39	0	0	0	0	28	14954.77	.4704709
53685	92	3220	48322.26	0	0	0	0	34	9103.211	.4996357
53685	93	3220	51053.39	0	0	0	0	40	8508.677	.3720997
53685	94	3220	54845.27	0	0	0	0	36	8663.017	.2967912
53685	95	3220	66481.19	0	0	0	0	35	12019.86	.4126829
53685	96	3220	59652.13	0	0	0	0	25	11332.23	.3296102
54189	90	3220	277958	0	0	0	0	64	139425	.3148353
54189	91	3220	260489.6	0	0	0	0	54	153562.2	.2208897
54189	92	3220	285212.4	0	0	0	0	77	147700.6	.2774213
54189	93	3220	299199.6	0	0	0	0	71	211628.1	.043026
54189	94	3220	376352.5	0	1	0	11835.09	65	129149.6	.4684244
54189	95	3220	381930.9	0	0	0	0	56	217091.2	.2222029
54189	96	3220	571232.4	0	0	0	0	46	139955.3	.5598853
54288	90	3220	219886	0	0	0	0	60	125334	.2776302
54288	91	3220	215832.2	0	0	0	0	29	164329.4	.0979371
54288	92	3220	217414.3	0	0	0	0	35	181229	-.0125353
54288	93	3220	185233.2	0	0	0	0	30	129730.7	.1347401
54288	94	3220	102078.6	0	0	0	0	13	71953.99	.1603325
54288	95	0	0	-1	-1	0	0	0	0	0
54288	96	0	0	-1	-1	0	0	0	0	0
54603	90	3220	79693	0	0	0	0	22	49084	.2781925
54603	91	3220	82538.86	0	0	0	0	25	66305.23	.0589775
54603	92	3220	85853.28	0	0	0	0	30	59028.73	.174199
54603	93	3220	106290.7	0	0	0	0	24	65132.59	.2805288
54603	94	3220	106356.7	0	0	0	0	27	68199.53	.198803
54603	95	3220	129745.5	0	0	0	0	18	108324.9	-.0054691
54603	96	3220	207159.4	0	0	0	0	25	131082.2	.2431881
54675	90	3220	1800091	0	1	0	353117	322	570473	.5179744
54675	91	3220	2007569	0	1	0	665888.2	339	1419629	.1259856
54675	92	0	0	-1	-1	0	0	0	0	0
54675	93	0	0	-1	-1	0	0	0	0	0
54675	94	0	0	-1	-1	0	0	0	0	0
54675	95	0	0	-1	-1	0	0	0	0	0
54675	96	0	0	-1	-1	0	0	0	0	0
54711	90	3220	186005	0	0	0	0	59	108798	.1275127
54711	91	3220	204863	0	1	0	27310.43	47	78957.23	.3672327
54711	92	3220	168921.2	0	1	0	38239.74	48	85451.65	.2058808
54711	93	3220	193845.6	0	1	0	26404.82	46	80531.3	.3080371
54711	94	3220	152191.9	0	1	0	6622.969	33	55727.88	.2792484
54711	95	3220	160005.6	0	1	0	12873.41	27	38249.72	.4171736
54711	96	3220	141155.7	1	0	2112.593	0	22	27588.21	.4091127
54729	90	0	0	-1	-1	0	0	0	0	0
54729	91	3220	119603.4	0	0	0	0	64	121181.9	-.3469417
54729	92	3220	359733.3	0	0	0	0	81	266415.9	-.043439
54729	93	3220	545418.8	1	1	13863.83	3393.5	113	241373.9	.2627255
54729	94	3220	475360.7	1	1	56247.42	3068.43	128	269184.1	.0665385
54729	95	3220	404413.3	1	0	36145.81	0	255	303316.5	-.0759162
54729	96	3220	704670.1	0	0	0	0	38	531894.8	.100347
54738	90	3220	88256	0	1	0	11046	26	55138	.2323128
54738	91	3220	91875.76	0	1	0	5322.364	27	83554.49	-.0736873
54738	92	3220	107396.6	0	1	0	7112.006	27	96418.92	-.0304822
54738	93	3220	116401.4	0	0	0	0	21	101566.4	.0042545
54738	94	3220	92884.05	0	0	0	0	25	58325.59	.1890896
54738	95	3220	100713.8	0	0	0	0	26	75731.39	.0389139
54738	96	3220	226839.8	0	0	0	0	26	97259.98	.4399473
55476	90	3220	45064	0	0	0	0	15	31995	.1725546
55476	91	3220	51425.79	0	0	0	0	14	26447.1	.3575521
55476	92	3220	40011.23	0	0	0	0	14	24048.98	.2058272
55476	93	3220	36799.36	0	0	0	0	14	17551.14	.2453621
55476	94	3220	33318.78	0	0	0	0	15	18153.82	.1321092
55476	95	3220	40593.33	0	0	0	0	13	19511.08	.2125369
55476	96	3220	31932.51	0	0	0	0	12	22085.01	-.1204996
55494	90	3220	416664	0	1	0	35693	57	235138	.3105236
55494	91	3220	526047.4	0	1	0	44127.61	66	336183	.1800863
55494	92	3220	471499	0	1	0	58643.4	74	232415.5	.3078479
55494	93	3220	629540.4	0	1	0	40868.24	73	328366.4	.2930763
55494	94	3220	716252.2	0	1	0	26609.56	78	378952.2	.2704695
55494	95	3220	843721.3	0	1	0	29258.21	84	438788.4	.2721182
55494	96	3220	900693.3	0	1	0	46428.64	81	545516.3	.1894273
55521	90	3220	1.6e+07	0	0	0	0	2144	11800000	.1008761
55521	91	3220	2e+07	0	0	0	0	1827	11400000	.2569376
55521	92	3220	23900000	1	0	9320.326	0	2817	1.8e+07	.0907525
55521	93	3220	36200000	1	1	1207972	2474848	2278	17800000	.4048685
55521	94	3220	43700000	1	1	1823239	2322260	3442	22700000	.2984477
55521	95	3220	59700000	1	1	2335825	2156884	3045	29200000	.3760031
55521	96	3220	7.9e+07	1	1	2158469	2586362	3365	44500000	.2958615
