Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,Stationary Mixture,stationary_mixture,[0.166 0.416 0.419],[0.095 0.091 0.078],[-1.152 -0.82  -0.411 -0.227 -0.588 -0.583],[0.607 0.139 0.288 0.169 0.254 0.158],0.0,0.0,[],[],[0.523 0.09  0.129],[0.155 0.094 0.057],[-0.919 -0.355 -0.587],[0.185 0.157 0.138]
Food products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.158 0.45  0.392],[0.116 0.115 0.088],[-1.269 -0.927 -0.467 -0.305 -0.662 -0.657],[0.537 0.22  0.32  0.257 0.216 0.219],0.0,0.0,"[[ 0.011 -0.426]
 [-0.035  0.122]
 [-0.073  0.039]]","[[0.077 0.541]
 [0.07  0.326]
 [0.034 0.164]]",[0.551 0.088 0.136],[0.192 0.194 0.13 ],[-1.034 -0.437 -0.661],[0.237 0.245 0.182]
Food products,Stationary Normal,stationary_normal,[0.171 0.457 0.372],[0.065 0.084 0.079],[-0.917 -0.571 -0.341],[0.15  0.127 0.144],0.0,0.0,[],[],[0.532 0.127 0.125],[0.139 0.109 0.074],0.0,
Food products,Stationary Normal kmshare ciiu,stationary_normal,[0.161 0.387 0.452],[0.116 0.099 0.093],[-1.016 -0.659 -0.436],[0.244 0.189 0.177],0.0,0.0,"[[ 0.004 -0.401]
 [-0.074  0.04 ]
 [-0.033  0.114]]","[[0.092 0.578]
 [0.048 0.358]
 [0.033 0.191]]",[0.572 0.133 0.11 ],[0.219 0.163 0.134],0.0,
Food products,AR1 Normal,ar1_normal,[0.05  0.293 0.658],[0.066 0.103 0.113],[-1.413 -0.624 -0.538],[3.833 0.07  0.037],[0.371 0.509 0.871],[0.296 0.162 0.134],[],[],[0.883 0.268 0.094],[0.194 0.071 0.049],0.0,
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.05  0.331 0.62 ],[0.054 0.075 0.098],[-1.531 -0.664 -0.543],[0.383 0.068 0.494],[0.376 0.515 0.844],[0.253 0.123 0.103],"[[ 0.275 -0.088]
 [-0.062  0.264]
 [ 0.014  0.067]]","[[  0.285 111.057]
 [  0.039   0.392]
 [  0.075   0.178]]",[0.83  0.247 0.09 ],[0.185 0.059 0.017],0.0,
Food products,AR1 Mixture,ar1_mixture,[0.049 0.76  0.19 ],[0.103 0.236 0.251],[-1.602 -1.552 -0.493 -0.021 -0.863 -0.428],[2.819 2.438 0.167 0.223 0.212 0.185],[0.446 0.574 0.01 ],[0.281 0.311 0.35 ],[],[],[0.875 0.107 0.224],[0.255 0.076 0.083],[-1.577 -0.463 -0.75 ],[2.599 0.138 0.174]
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.048 0.489 0.463],[0.252 0.331 0.307],[-48.982 -48.99   -1.304  -1.304  -0.701  -0.699],[14232881.021 13615267.335  6134560.085  5366928.749 14645390.875  7427074.611],[0.99  0.958 0.915],[0.158 0.222 0.379],"[[ 0.     0.   ]
 [-0.72  -0.733]
 [-0.119 -0.502]]","[[ 2491764.037 65322761.053]
 [  578657.584  1126011.069]
 [ 4879426.161 22411192.408]]",[1.995 0.324 0.089],[157628.052  80940.431 287309.683],[-48.986  -1.304  -0.7  ],[13535194.85   5459236.842  5006845.639]
Fabricated metal products,Stationary Mixture,stationary_mixture,[0.275 0.478 0.247],[0.115 0.119 0.121],[-1.1   -1.035 -0.992 -0.539 -0.254 -0.229],[0.376 0.319 0.265 0.203 0.363 0.218],0.0,0.0,[],[],[0.464 0.178 0.197],[0.107 0.07  0.078],[-1.089 -0.587 -0.242],[0.275 0.2   0.254]
Fabricated metal products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.187 0.465 0.349],[0.105 0.129 0.151],[-0.175 -0.145 -0.554 -0.174 -1.435 -0.908],[0.342 0.327 0.354 0.278 0.308 0.273],0.0,0.0,"[[ 0.088 -1.691]
 [-0.001  0.153]
 [ 0.177 -0.491]]","[[0.094 0.596]
 [0.114 0.664]
 [0.094 0.812]]",[0.151 0.187 0.384],[0.139 0.09  0.098],[-0.166 -0.513 -0.984],[0.249 0.278 0.263]
