,Country,Industry,Model,Stat,M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10,T
6,Chile,Fabricated metal products,Kmshare,LR,270.1895,81.1781,43.3852,31.3301,27.6127,22.3630,9.3163,-,-,-,3
7,Chile,Fabricated metal products,Kmshare,LR Crit,"13.8, 15.0, 18.9","14.9, 16.8, 18.2","15.4, 17.6, 23.2","14.7, 16.0, 19.2","16.4, 18.5, 24.1","14.5, 16.4, 18.5","14.5, 16.2, 19.3",-,-,-,3
6,Chile,Fabricated metal products,Kmshare mixture,LR,187.5149,79.9523,38.0020,22.1175,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Kmshare mixture,LR Crit,"17.2, 18.3, 21.6","17.5, 22.7, 28.7","19.3, 22.0, 23.9","28.5, 35.2, 54.3",-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Kmshare mixture 3,LR,187.5737,79.8976,26.4159,35.2471,10.3542,-,-,-,-,-,3
7,Chile,Fabricated metal products,Kmshare mixture 3,LR Crit,"20.0, 22.5, 29.1","22.9, 24.2, 29.0","21.2, 24.8, 29.0","29.3, 34.6, 44.1","37.8, 52.5, 75.3",-,-,-,-,-,3
6,Chile,Fabricated metal products,Kmshare mixture 4,LR,187.5737,81.0384,29.6585,37.7737,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Kmshare mixture 4,LR Crit,"20.1, 23.5, 26.5","24.0, 27.1, 32.5","23.2, 25.8, 30.6","53.7, 62.8, 73.2",-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Plain,LR,312.1339,93.1496,34.4064,20.1522,11.1988,10.7754,6.7357,4.9184,-,-,3
6,Chile,Fabricated metal products,Plain,LR,970.3741,574.2190,288.9230,243.2097,97.4946,80.7535,76.9598,37.6323,-,-,5
7,Chile,Fabricated metal products,Plain,LR Crit,"6.6, 7.4, 11.7","6.6, 8.0, 8.9","7.5, 8.4, 10.9","7.1, 8.3, 12.9","7.6, 9.0, 11.8","5.7, 6.6, 9.5","5.2, 6.7, 8.8","4.5, 5.7, 8.2",-,-,3
7,Chile,Fabricated metal products,Plain,LR Crit,"6.6, 7.5, 11.7","6.8, 9.1, 14.0","7.7, 8.8, 11.8","7.8, 9.1, 12.2","8.2, 9.2, 14.9","7.6, 8.5, 12.8","7.7, 10.1, 12.4","6.8, 9.5, 14.5","6.7, 7.7, 9.7","7.0, 8.5, 25.0",5
6,Chile,Fabricated metal products,Plain ciiu,LR,268.4391,51.1905,32.7984,23.6339,9.5340,-,-,-,-,-,3
7,Chile,Fabricated metal products,Plain ciiu,LR Crit,"7.1, 10.2, 14.9","6.5, 8.3, 14.6","9.6, 11.5, 19.5","10.2, 12.6, 16.3","9.3, 13.4, 21.3",-,-,-,-,-,3
6,Chile,Fabricated metal products,Plain mixture,LR,196.0605,101.2981,34.3526,33.7497,7.8832,-,-,-,-,-,3
7,Chile,Fabricated metal products,Plain mixture,LR Crit,"9.1, 11.5, 14.1","9.4, 11.2, 13.7","9.6, 12.3, 14.9","10.7, 12.6, 17.7","13.9, 26.3, 43.5",-,-,-,-,-,3
6,Chile,Fabricated metal products,Plain mixture 3,LR,196.2154,101.2985,52.8813,14.3045,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Plain mixture 3,LR Crit,"12.1, 14.0, 16.3","13.2, 14.8, 18.8","11.6, 13.6, 20.0","53.1, 60.7, 72.6",-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Plain mixture 3 ciiu,LR,170.7851,63.1976,53.5000,-1.9999,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Plain mixture 3 ciiu,LR Crit,"12.6, 15.6, 21.4","13.5, 16.6, 21.6","19.3, 26.7, 54.0","48.5, 60.7, 79.1",-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Plain mixture 4,LR,196.8367,100.9756,55.2903,-6.0331,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Plain mixture 4,LR Crit,"15.2, 17.8, 22.8","13.3, 15.8, 19.0","13.6, 15.8, 19.3","62.3, 79.0, 92.4",-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Plain mixture 4 ciiu,LR,170.6953,59.4446,29.1153,28.5596,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Plain mixture 4 ciiu,LR Crit,"15.3, 20.7, 38.0","17.5, 22.1, 32.4","21.4, 26.5, 40.4","32.9, 45.1, 63.4",-,-,-,-,-,-,3
6,Chile,Fabricated metal products,Plain mixture ciiu,LR,170.8750,46.5334,34.5001,8.7472,-,-,-,-,-,-,3
7,Chile,Fabricated metal products,Plain mixture ciiu,LR Crit,"11.4, 13.5, 17.5","11.7, 14.4, 20.3","16.9, 19.7, 33.2","39.2, 47.9, 68.7",-,-,-,-,-,-,3
2,Chile,Food products,Ar1 k,LR,1361.6627,175.8411,-76.7957,61.3275,-,-,-,-,-,-,5
3,Chile,Food products,Ar1 k,LR Crit,"21.9, 23.4, 25.4","20.9, 22.7, 26.9","17.6, 19.2, 21.3",-,-,-,-,-,-,-,5
2,Chile,Food products,Ar1 k mixture,LR,1153.7317,174.0796,-,-,-,-,-,-,-,-,3
2,Chile,Food products,Ar1 k mixture,LR,1361.5804,1361.6397,-,-,-,-,-,-,-,-,5
3,Chile,Food products,Ar1 k mixture,LR Crit,"20.8, 22.9, 26.5","274.4, 405.9, 507.4",-,-,-,-,-,-,-,-,3
3,Chile,Food products,Ar1 k mixture,LR Crit,"2050.8, 2090.2, 2133.4",-,-,-,-,-,-,-,-,-,5
2,Chile,Food products,Ar1 plain,LR,1811.2176,179.5193,49.9356,21.3437,18.2874,-,-,-,-,-,3
2,Chile,Food products,Ar1 plain,LR,1336.6640,416.1872,-76.7957,-76.7957,-76.7957,-,-,-,-,-,5
3,Chile,Food products,Ar1 plain,LR Crit,"15.5, 17.2, 19.2","17.5, 18.5, 20.6","16.6, 17.7, 20.5","17.3, 18.7, 20.6","16.4, 18.8, 21.8",-,-,-,-,-,3
3,Chile,Food products,Ar1 plain,LR Crit,"14.3, 15.9, 21.3","15.0, 16.7, 20.3","16.2, 369.5, 430.1",-,-,-,-,-,-,-,5
2,Chile,Food products,Ar1 plain mixture,LR,1290.5657,137.6656,-,-,-,-,-,-,-,-,3
2,Chile,Food products,Ar1 plain mixture,LR,1200.5063,623.0507,-,-,-,-,-,-,-,-,5
3,Chile,Food products,Ar1 plain mixture,LR Crit,"12.4, 14.8, 18.4","241.0, 429.5, 579.8",-,-,-,-,-,-,-,-,3
3,Chile,Food products,Ar1 plain mixture,LR Crit,"418.8, 507.3, 787.8","448.8, 886.3, 1270.9",-,-,-,-,-,-,-,-,5
2,Chile,Food products,K,LR,1496.5601,546.6996,242.9905,173.8634,68.5156,58.1026,41.4798,27.6943,27.8873,17.7785,3
2,Chile,Food products,K,LR,2275.1969,1335.5661,760.0073,523.9611,294.6146,275.7552,182.4631,109.6312,87.6119,99.0821,5
3,Chile,Food products,K,LR Crit,"8.2, 10.0, 12.1","9.8, 11.1, 12.6","10.4, 11.7, 18.0","10.1, 12.1, 15.0","11.5, 12.8, 17.2","11.0, 11.8, 14.9","11.5, 12.4, 14.6","10.7, 11.8, 13.8","11.0, 11.9, 13.7","10.3, 11.6, 15.5",3
