,Country,Industry,Model,Stat,M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10,T
10,Chile,Textiles,Kmshare mixture 3,LR,220.5659,173.4524,85.4563,48.7931,8.0081,-,-,-,-,-,3
11,Chile,Textiles,Kmshare mixture 3,LR Crit,"15.7, 17.9, 21.3","22.2, 26.3, 31.2","21.0, 24.0, 29.7","21.2, 23.9, 29.1","19.9, 22.7, 28.8",-,-,-,-,-,3
10,Chile,Textiles,Kmshare mixture 4,LR,234.9295,163.7784,86.0482,55.6531,27.5238,-,-,-,-,-,3
11,Chile,Textiles,Kmshare mixture 4,LR Crit,"21.4, 23.0, 27.1","21.5, 23.9, 27.9","22.7, 25.1, 29.6","22.7, 24.7, 33.1","29.8, 47.7, 66.6",-,-,-,-,-,3
10,Chile,Textiles,Plain,LR,427.0889,218.1656,93.0143,39.2905,28.7014,11.4814,6.7117,-,-,-,3
10,Chile,Textiles,Plain,LR,773.6191,448.2974,391.7175,196.3678,187.3678,104.6513,99.7092,-,-,-,5
11,Chile,Textiles,Plain,LR Crit,"6.8, 8.1, 12.1","6.6, 7.4, 9.5","7.7, 8.8, 11.7","7.2, 8.4, 12.1","7.5, 8.4, 11.9","6.9, 7.6, 10.0","6.7, 7.7, 10.4",-,-,-,3
11,Chile,Textiles,Plain,LR Crit,"7.7, 10.1, 13.7","7.7, 8.9, 10.5","7.0, 8.6, 11.7","8.0, 9.5, 12.1","7.5, 9.0, 11.6","7.6, 8.9, 16.4","8.1, 9.1, 15.6","8.7, 10.7, 11.9","7.3, 11.1, 80.3","7.5, 8.2, 10.0",5
10,Chile,Textiles,Plain ciiu,LR,287.7916,161.7360,95.4102,40.0914,25.8232,10.2962,9.4948,7.9316,4.7671,-,3
11,Chile,Textiles,Plain ciiu,LR Crit,"8.7, 10.2, 14.1","8.4, 10.1, 12.4","8.7, 11.1, 21.5","9.3, 12.2, 17.1","9.1, 12.1, 18.0","7.6, 8.9, 10.3","8.0, 9.2, 15.4","4.8, 5.9, 10.2","4.7, 5.7, 7.0",-,3
10,Chile,Textiles,Plain mixture,LR,223.8449,222.6686,83.5177,36.4428,24.6999,15.0587,9.3071,-,-,-,3
11,Chile,Textiles,Plain mixture,LR Crit,"8.5, 10.1, 14.0","11.4, 13.6, 16.6","13.6, 17.7, 25.5","10.8, 13.6, 16.5","10.0, 11.5, 15.9","10.0, 12.1, 15.2","10.1, 12.1, 30.0",-,-,-,3
10,Chile,Textiles,Plain mixture 3,LR,251.1580,200.4149,83.0628,37.3394,27.5860,15.1455,-,-,-,-,3
11,Chile,Textiles,Plain mixture 3,LR Crit,"9.0, 11.2, 16.0","12.9, 14.1, 17.2","11.7, 13.4, 16.2","11.2, 13.5, 17.4","12.9, 15.7, 32.4","14.7, 29.2, 44.2",-,-,-,-,3
10,Chile,Textiles,Plain mixture 3 ciiu,LR,201.0561,170.9335,83.8342,33.9937,26.9447,14.7045,-,-,-,-,3
11,Chile,Textiles,Plain mixture 3 ciiu,LR Crit,"11.8, 15.0, 20.5","16.1, 18.2, 28.3","13.8, 15.9, 27.9","14.4, 16.4, 21.0","12.6, 14.6, 16.7","13.5, 22.2, 36.6",-,-,-,-,3
10,Chile,Textiles,Plain mixture 4,LR,271.9665,178.2109,86.2093,27.2259,41.1978,17.3849,-,-,-,-,3
11,Chile,Textiles,Plain mixture 4,LR Crit,"11.8, 14.3, 18.4","13.8, 15.8, 21.1","13.8, 16.0, 19.9","12.7, 15.5, 21.1","13.9, 15.6, 18.6","30.6, 38.6, 51.0",-,-,-,-,3
10,Chile,Textiles,Plain mixture 4 ciiu,LR,217.3984,155.3046,76.6164,41.8719,21.5011,20.2991,-,-,-,-,3
11,Chile,Textiles,Plain mixture 4 ciiu,LR Crit,"13.1, 14.6, 20.2","17.6, 24.3, 30.8","17.3, 22.4, 38.0","12.6, 14.3, 23.3","12.4, 14.9, 31.9","27.7, 35.6, 42.9",-,-,-,-,3
10,Chile,Textiles,Plain mixture ciiu,LR,199.5321,163.0530,93.6783,49.0272,23.6803,6.6709,-,-,-,-,3
11,Chile,Textiles,Plain mixture ciiu,LR Crit,"10.8, 13.0, 17.5","10.7, 13.8, 21.4","11.8, 15.4, 25.8","10.2, 11.5, 15.6","11.6, 15.0, 19.8","10.3, 12.8, 18.0",-,-,-,-,3
