Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.392 0.158 0.45 ],[0.079 0.063 0.075],[-0.662 -0.657 -1.269 -0.927 -0.467 -0.305],[0.397 0.212 0.162 0.184 0.179 0.191],0.0,0.0,"[[-0.073  0.039]
 [ 0.011 -0.426]
 [-0.035  0.122]]","[[0.09  0.571]
 [0.045 0.175]
 [0.024 0.171]]",[0.136 0.574 0.108],[0.163 0.096 0.1  ],[-0.661 -1.034 -0.437],[0.213 0.139 0.152]
Food products,Stationary Normal kmshare ciiu,stationary_normal,[0.152 0.418 0.43 ],[0.105 0.092 0.071],[-0.95  -0.598 -0.363],[0.187 0.2   0.141],0.0,0.0,"[[ 0.043 -0.269]
 [-0.028  0.068]
 [ 0.022  0.183]]","[[0.083 0.695]
 [0.05  0.295]
 [0.025 0.114]]",[0.557 0.131 0.124],[0.171 0.145 0.074],0.0,
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.05  0.331 0.62 ],[0.042 0.059 0.073],[-1.531 -0.664 -0.543],[0.42  0.059 0.031],[0.376 0.515 0.844],[0.235 0.106 0.074],"[[ 0.275 -0.088]
 [-0.062  0.264]
 [ 0.014  0.067]]","[[0.26  1.663]
 [0.035 0.301]
 [0.035 0.186]]",[0.83  0.247 0.09 ],[0.185 0.047 0.016],0.0,
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.425 0.107 0.468],[0.233 0.323 0.301],[-698.523 -697.993   -0.71    -0.71    -0.639   -0.52 ],[3.199e+08 3.199e+08 1.135e+07 1.122e+07 3.149e+07 1.429e+07],[0.99  0.556 0.754],[0.185 0.212 0.369],"[[56.197 19.65 ]
 [-0.136  0.275]
 [-0.038 -0.127]]","[[5.295e+07 2.195e+08]
 [2.165e+06 1.277e+06]
 [5.482e+06 1.884e+06]]",[16.     0.258  0.102],[ 2060005.677   626944.552 20998684.853],[-698.258   -0.71    -0.563],[3.199e+08 1.127e+07 1.066e+07]
Fabricated metal products,Stationary Mixture kmshare ciiu,stationary_mixture,[0.343 0.47  0.187],[0.104 0.117 0.129],[-0.98  -0.977 -0.553 -0.164 -0.261 -0.07 ],[0.377 0.326 0.301 0.27  0.26  0.203],0.0,0.0,"[[ 0.174 -0.507]
 [-0.003  0.155]
 [ 0.095 -1.652]]","[[0.09  0.622]
 [0.083 0.575]
 [0.062 0.818]]",[0.427 0.223 0.146],[0.112 0.09  0.064],[-0.979 -0.512 -0.168],[0.267 0.235 0.211]
Fabricated metal products,Stationary Normal kmshare ciiu,stationary_normal,[0.311 0.463 0.226],[0.104 0.105 0.125],[-1.004 -0.541 -0.169],[0.225 0.2   0.182],0.0,0.0,"[[ 0.176 -0.469]
 [ 0.021  0.176]
 [ 0.074 -1.685]]","[[0.079 0.7  ]
 [0.078 0.545]
 [0.053 0.76 ]]",[0.426 0.213 0.185],[0.123 0.088 0.059],0.0,
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.307 0.535 0.158],[0.154 0.209 0.233],[-0.868 -0.505  0.037],[0.531 0.168 2.902],[0.471 0.397 0.788],[0.176 0.181 0.286],"[[ 0.157 -0.748]
 [ 0.002  0.192]
 [ 0.254 -1.885]]","[[ 0.243 11.309]
 [ 0.129  2.603]
 [ 1.504  2.018]]",[0.446 0.217 0.129],[0.166 0.108 0.088],0.0,
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.412 0.373 0.214],[0.272 0.254 0.223],[-0.859 -0.813 -0.582 -0.291 -0.104 -0.108],[0.729 0.459 0.456 0.494 0.727 0.73 ],[0.52  0.01  0.279],[0.229 0.268 0.292],"[[ 0.1   -0.346]
 [-0.002  0.266]
 [ 0.098 -1.64 ]]","[[1.499 1.784]
 [0.144 1.531]
 [1.529 5.607]]",[0.408 0.174 0.163],[0.302 0.358 0.17 ],[-0.835 -0.531 -0.106],[0.452 0.296 0.712]
Textiles,Stationary Mixture kmshare ciiu,stationary_mixture,[0.115 0.459 0.426],[0.15  0.14  0.168],[-1.487 -1.338 -0.74  -0.729 -0.41  -0.119],[1.004 0.475 0.494 0.33  0.623 0.37 ],0.0,0.0,"[[ 0.217  0.507]
 [-0.075  0.034]
 [-0.041 -0.1  ]]","[[0.259 0.613]
 [0.094 0.251]
 [0.14  0.33 ]]",[0.728 0.239 0.198],[0.357 0.156 0.217],[-1.405 -0.739 -0.256],[0.576 0.317 0.436]
Textiles,Stationary Normal kmshare ciiu,stationary_normal,[0.112 0.393 0.495],[0.126 0.135 0.155],[-1.42  -0.788 -0.322],[0.427 0.307 0.416],0.0,0.0,"[[ 0.227  0.542]
 [-0.059 -0.117]
 [-0.057 -0.128]]","[[0.181 0.637]
 [0.13  0.294]
 [0.147 0.409]]",[0.736 0.224 0.207],[0.277 0.16  0.204],0.0,
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.05  0.644 0.306],[0.191 0.353 0.327],[-0.914 -0.622 -0.049],[1.003 0.268 1.288],[0.241 0.72  0.838],[0.309 0.298 0.244],"[[ 0.867 -0.826]
 [ 0.019 -0.414]
 [-0.013 -0.026]]","[[ 0.514 64.037]
 [ 0.374 61.695]
 [ 0.534  1.021]]",[0.735 0.266 0.102],[0.272 0.185 0.115],0.0,
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.055 0.879 0.066],[0.352 0.369 0.363],[-1.002 -0.88  -0.47  -0.451 -0.185  0.001],[1.241 0.811 1.222 0.82  0.949 0.568],[0.286 0.786 0.225],[0.305 0.336 0.309],"[[ 0.72  -0.763]
 [-0.004 -0.344]
 [-0.098 -0.217]]","[[  0.485  52.652]
 [  0.633 302.441]
 [ 10.534  49.883]]",[0.71  0.237 0.096],[0.507 0.51  0.285],[-0.941 -0.464 -0.092],[0.715 0.805 0.637]
