Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.05  0.331 0.62 ],[0.036 0.071 0.091],[-1.531 -0.664 -0.543],[0.648 0.062 0.033],[0.376 0.515 0.844],[0.259 0.111 0.096],"[[ 0.275 -0.088]
 [-0.062  0.264]
 [ 0.014  0.067]]","[[ 0.349 32.112]
 [ 0.034  0.277]
 [ 0.035  0.166]]",[0.83  0.247 0.09 ],[0.178 0.049 0.018],0.0,
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.529 0.421 0.05 ],[0.083 0.162 0.161],[-2.    -2.    -0.6   -0.567 -0.436 -0.415],[0.204 0.226 0.315 0.336 0.19  0.21 ],[0.99  0.801 0.666],[0.099 0.277 0.343],"[[-0.228 -0.135]
 [-0.017 -0.205]
 [-0.128 -0.03 ]]","[[ 2.466 11.568]
 [ 0.069  5.093]
 [ 0.088 11.326]]",[0.627 0.086 0.066],[0.707 0.084 0.048],[-2.    -0.59  -0.426],[0.215 0.321 0.194]
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.307 0.535 0.158],[0.165 0.207 0.235],[-0.868 -0.505  0.037],[0.288 0.149 0.892],[0.471 0.397 0.788],[0.18  0.205 0.278],"[[ 0.157 -0.748]
 [ 0.002  0.192]
 [ 0.254 -1.885]]","[[0.257 1.37 ]
 [0.142 1.653]
 [1.21  1.65 ]]",[0.445 0.217 0.129],[0.157 0.114 0.088],0.0,
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.326 0.11  0.564],[0.254 0.238 0.232],[-0.842 -0.761 -0.629 -0.154 -0.461 -0.44 ],[0.513 0.392 0.318 0.247 0.43  0.324],[0.49  0.121 0.591],[0.244 0.257 0.319],"[[ 0.194 -1.08 ]
 [ 0.003  0.266]
 [ 0.016 -0.172]]","[[1.171 4.567]
 [0.109 1.857]
 [0.193 1.726]]",[0.451 0.24  0.215],[0.204 0.139 0.127],[-0.801 -0.354 -0.451],[0.388 0.256 0.363]
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.055 0.656 0.289],[0.165 0.348 0.343],[-0.909 -0.599 -0.045],[0.595 0.251 1.861],[0.269 0.724 0.835],[0.27  0.317 0.266],"[[ 0.79  -0.752]
 [ 0.007 -0.409]
 [-0.009 -0.019]]","[[ 0.619  1.154]
 [ 0.337 59.271]
 [ 0.563  1.053]]",[0.701 0.257 0.098],[0.245 0.192 0.076],0.0,
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.11  0.841 0.049],[0.279 0.373 0.371],[-1.065 -1.03  -0.447 -0.379 -0.215  0.021],[0.639 0.474 0.564 0.409 0.503 0.403],[0.41  0.798 0.344],[0.288 0.305 0.258],"[[ 0.362 -0.486]
 [-0.024 -0.322]
 [-0.101  0.093]]","[[ 1.41  54.344]
 [ 0.458 76.53 ]
 [ 0.291  1.658]]",[0.617 0.212 0.12 ],[0.276 0.232 0.153],[-1.047 -0.413 -0.097],[0.46  0.435 0.415]
