Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.211 0.789],[0.102 0.898],[-0.986 -0.557],[0.237 0.19 ],[0.55  0.771],[0.092 0.13 ],"[[ 0.041  0.001]
 [-0.035  0.127]]","[[0.117 0.537]
 [0.611 0.354]]",[0.509 0.11 ],[0.139 0.023],0.0,0.0
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.532 0.468],[0.13 0.87],[-2.    -2.    -0.586 -0.558],[ 9.089 10.033  0.029  0.058],[0.99  0.818],[0.058 0.08 ],"[[-0.229 -0.136]
 [-0.025 -0.152]]","[[0.504 0.317]
 [0.148 0.108]]",[0.627 0.085],[0.973 0.021],0.0,0.0
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.349 0.651],[0.184 0.816],[-0.785 -0.429],[0.511 0.678],[0.504 0.572],[0.203 0.277],"[[ 0.186 -1.044]
 [ 0.018 -0.014]]","[[0.229 0.465]
 [0.135 4.83 ]]",[0.44  0.214],[0.177 0.019],0.0,0.0
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.366 0.634],[0.085 0.915],[-0.788 -0.758 -0.443 -0.396],[0.025 0.283 0.085 0.131],[0.504 0.551],[0.077 0.118],"[[ 0.18  -1.028]
 [ 0.015  0.008]]","[[0.066 0.236]
 [0.039 0.185]]",[0.433 0.211],[0.051 0.018],0.0,0.0
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.1 0.9],[0.205 0.795],[-0.988 -0.374],[12.459  2.588],[0.388 0.822],[7.642 0.895],"[[ 0.441 -0.56 ]
 [-0.024 -0.3  ]]","[[ 3.566  3.782]
 [11.92   1.831]]",[0.634 0.211],[7.744 0.303],0.0,0.0
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.106 0.894],[0.114 0.886],[-1.073 -0.978 -0.479 -0.294],[0.158 0.08  0.196 0.07 ],[0.408 0.806],[0.381 0.057],"[[ 0.384 -0.52 ]
 [-0.024 -0.283]]","[[0.543 0.531]
 [0.06  0.172]]",[0.628 0.209],[0.243 0.032],0.0,0.0
