Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Food products,AR1 Normal kmshare ciiu,ar1_normal,[0.211 0.789],[0.03 0.03],[-0.986 -0.557],[0.128 0.017],[0.55  0.771],[0.14  0.033],"[[ 0.041  0.001]
 [-0.035  0.127]]","[[0.09  0.466]
 [0.019 0.099]]",[0.509 0.11 ],[0.076 0.006],0.0,
Food products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.527 0.473],[0.039 0.039],[-2.    -2.    -0.578 -0.554],[0.    0.    0.024 0.113],[0.99  0.815],[0.    0.115],"[[-0.23  -0.136]
 [-0.027 -0.153]]","[[2.349 1.071]
 [0.023 2.766]]",[0.629 0.086],[0.677 0.017],[-2.    -0.574],[0.    0.026]
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.349 0.651],[0.195 0.195],[-0.785 -0.429],[0.125 0.164],[0.504 0.572],[0.105 0.159],"[[ 0.186 -1.044]
 [ 0.018 -0.014]]","[[0.107 0.608]
 [0.121 0.749]]",[0.44  0.214],[0.075 0.083],0.0,
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.365 0.634],[0.263 0.263],[-0.8   -0.734 -0.436 -0.385],[0.373 0.276 0.263 0.21 ],[0.502 0.551],[0.161 0.262],"[[ 0.181 -1.026]
 [ 0.015  0.007]]","[[0.091 0.622]
 [6.128 2.078]]",[0.434 0.212],[0.102 0.1  ],[-0.782 -0.423],[0.275 0.204]
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.1 0.9],[0.227 0.227],[-0.988 -0.374],[0.801 0.449],[0.388 0.822],[0.257 0.126],"[[ 0.441 -0.56 ]
 [-0.024 -0.3  ]]","[[2.882 0.697]
 [0.177 0.505]]",[0.634 0.211],[0.158 0.088],0.0,
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.106 0.894],[0.289 0.289],[-1.075 -0.976 -0.478 -0.294],[0.524 0.498 0.415 0.183],[0.407 0.806],[0.276 0.235],"[[ 0.385 -0.519]
 [-0.024 -0.284]]","[[  0.407 153.597]
 [  0.158   2.361]]",[0.63  0.229],[0.241 0.102],[-1.028 -0.386],[0.354 0.211]
