Industry,AIC,AIC,AIC,BIC,BIC,BIC,LR,LR,LR,country,T,Y,LR 90,LR 90,LR 90,LR 99,LR 99,LR 99,Model
,Fabricated metal products,Food products,Textiles,Fabricated metal products,Food products,Textiles,Fabricated metal products,Food products,Textiles,,,,Fabricated metal products,Food products,Textiles,Fabricated metal products,Food products,Textiles,
Kmshare ciiu,7.0,10.0,9.0,4.0,8.0,6.0,4.0,10+,7.0,Chile,3,mYshare,4.0,10+,7.0,4.0,10+,7.0,K Material Share Normal control CIIU4
Kmshare ciiu,8.0,10.0,10.0,6.0,8.0,7.0,6.0,10+,7.0,Chile,3,mLshare,,,,,,,K Material Share Normal control CIIU4
Kmshare ciiu,8.0,10.0,10.0,6.0,10.0,7.0,4.0,1.0,7.0,Chile,5,mYshare,,,,,,,K Material Share Normal control CIIU4
Kmshare mixture ciiu,7.0,9.0,10.0,5.0,8.0,5.0,5.0,8.0,5.0,Chile,3,mLshare,,,,,,,K Material Share 2-Component Mixture control CIIU4
Kmshare mixture ciiu,4.0,8.0,9.0,4.0,6.0,6.0,4.0,5.0,5.0,Chile,3,mYshare,4.0,6.0,5.0,4.0,5.0,5.0,K Material Share 2-Component Mixture control CIIU4
Kmshare mixture ciiu,4.0,8.0,8.0,4.0,8.0,5.0,4.0,1.0,7.0,Chile,5,mYshare,,,,,,,K Material Share 2-Component Mixture control CIIU4
Kmshare mixture 3 ciiu,7.0,8.0,8.0,5.0,6.0,5.0,5.0,8.0,5.0,Chile,3,mLshare,,,,,,,K Material Share 3-Component Mixture control CIIU4
Kmshare mixture 3 ciiu,4.0,7.0,6.0,4.0,6.0,6.0,4.0,5.0,5.0,Chile,3,mYshare,4.0,5.0,5.0,4.0,5.0,5.0,K Material Share 3-Component Mixture control CIIU4
Kmshare mixture 3 ciiu,5.0,6.0,9.0,5.0,6.0,5.0,3.0,2.0,3.0,Chile,5,mYshare,,,,,,,K Material Share 3-Component Mixture control CIIU4
Kmshare mixture 4 ciiu,5.0,7.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,Chile,3,mLshare,,,,,,,K Material Share 4-Component Mixture control CIIU4
Kmshare mixture 4 ciiu,5.0,2.0,7.0,3.0,2.0,5.0,4.0,2.0,5.0,Chile,5,mYshare,,,,,,,K Material Share 4-Component Mixture control CIIU4
Kmshare mixture 4 ciiu,5.0,8.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,Chile,3,mYshare,,,,,,,K Material Share 4-Component Mixture control CIIU4
K ciiu,10.0,10.0,10.0,7.0,8.0,8.0,7.0,10+,10.0,Chile,3,mLshare,,,,,,,K Normal control CIIU4
K ciiu,8.0,2.0,9.0,5.0,2.0,8.0,4.0,1.0,7.0,Chile,5,mYshare,,,,,,,K Normal control CIIU4
K ciiu,7.0,10.0,7.0,4.0,9.0,6.0,4.0,10+,7.0,Chile,3,mYshare,,,,,,,K Normal control CIIU4
K mixture ciiu,6.0,7.0,9.0,4.0,5.0,6.0,4.0,6.0,6.0,Chile,3,mYshare,,,,,,,K 2-Component Mixture control CIIU4
K mixture ciiu,5.0,9.0,10.0,3.0,7.0,5.0,5.0,1.0,5.0,Chile,5,mYshare,,,,,,,K 2-Component Mixture control CIIU4
K mixture ciiu,7.0,8.0,10.0,6.0,8.0,7.0,6.0,8.0,6.0,Chile,3,mLshare,,,,,,,K 2-Component Mixture control CIIU4
K mixture 3 ciiu,7.0,10.0,7.0,5.0,7.0,7.0,5.0,7.0,5.0,Chile,3,mLshare,,,,,,,K 3-Component Mixture control CIIU4
K mixture 3 ciiu,4.0,7.0,6.0,4.0,5.0,6.0,4.0,5.0,7.0,Chile,3,mYshare,,,,,,,K 3-Component Mixture control CIIU4
K mixture 3 ciiu,5.0,10.0,7.0,2.0,6.0,4.0,3.0,1.0,6.0,Chile,5,mYshare,,,,,,,K 3-Component Mixture control CIIU4
K mixture 4 ciiu,7.0,8.0,6.0,5.0,6.0,6.0,5.0,8.0,6.0,Chile,3,mLshare,,,,,,,K 4-Component Mixture control CIIU4
K mixture 4 ciiu,4.0,6.0,6.0,4.0,6.0,4.0,4.0,1.0,6.0,Chile,5,mYshare,,,,,,,K 4-Component Mixture control CIIU4
K mixture 4 ciiu,4.0,8.0,6.0,4.0,5.0,4.0,4.0,4.0,6.0,Chile,3,mYshare,,,,,,,K 4-Component Mixture control CIIU4
Ar1 plain,7.0,10.0,8.0,2.0,4.0,3.0,2.0,5.0,3.0,Chile,3,mLshare,,,,,,,AR1 No Covariate Normal
Ar1 plain,9.0,9.0,10.0,3.0,6.0,3.0,3.0,6.0,3.0,Chile,5,mLshare,,,,,,,AR1 No Covariate Normal
Ar1 plain,10.0,10.0,10.0,3.0,7.0,6.0,4.0,10+,6.0,Chile,5,mYshare,4.0,10+,6.0,4.0,10+,6.0,AR1 No Covariate Normal
Ar1 plain,10.0,9.0,6.0,3.0,4.0,3.0,4.0,5.0,3.0,Chile,3,mYshare,,,,,,,AR1 No Covariate Normal
Ar1 plain mixture,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,Chile,5,mLshare,,,,,,,AR1 No Covariate 2-Component Mixture
Ar1 plain mixture,2.0,6.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,Chile,3,mLshare,,,,,,,AR1 No Covariate 2-Component Mixture
Ar1 plain mixture,6.0,7.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,Chile,5,mYshare,1.0,2.0,3.0,1.0,2.0,3.0,AR1 No Covariate 2-Component Mixture
Ar1 plain mixture,3.0,6.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,Chile,3,mYshare,,,,,,,AR1 No Covariate 2-Component Mixture
Ar1 plain mixture 3,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,Chile,3,mYshare,,,,,,,AR1 No Covariate 3-Component Mixture
