"","M=1","M=2","M=3","M=4","M=5","M=1","M=2","M=3","M=4","M=5"
"Food products","$853.59^{***}$","$395.49^{***}$","$161.64^{**}$","$107.2^{}$","0","73.0695734511438","-777.807848401833","-1165.31260611764","-1320.378755242","0"
"Fabricated metal products","$-167.61^{}$","0","0","0","0","184.89795225751","0","0","0","0"
"Textiles","$-68.45^{}$","0","0","0","0","138.866214350701","0","0","0","0"
"Wearing apparel, except footwear","$-41.3^{}$","0","0","0","0","128.507858556185","0","0","0","0"
"Wood products, except furniture","$79.82^{***}$","$55.87^{}$","0","0","0","70.3908226672543","-2.23811054416996","0","0","0"
"Plastic products","$4.9^{}$","0","0","0","0","64.2643538574329","0","0","0","0"
"Printing and publishing","$-28.65^{}$","0","0","0","0","89.7823559738264","0","0","0","0"
"Machinery, except electrical","$-144.65^{}$","0","0","0","0","132.117767043575","0","0","0","0"
"Other chemicals","$28.86^{**}$","$50.14^{**}$","$27.92^{*}$","$15.53^{**}$","$9.31^{}$","84.170207380004","62.7657983816435","20.5199974337832","-1.6319184389159","-17.9900749690281"
"Other non-metallic mineral products","$-78.71^{}$","0","0","0","0","81.0696983854953","0","0","0","0"
"Footwear, except rubber or plastic","$46.76^{**}$","$50.88^{*}$","$30.66^{***}$","$7.3^{}$","0","49.7496301229534","9.33063928455603","-34.4519197268362","-62.4141944685262","0"
