"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10"
"Food products","$1528.24^{***}$","$728.63^{***}$","$247.42^{***}$","$186.4^{***}$","$97.42^{***}$","$93.69^{***}$","$28.94^{***}$","$29.43^{***}$","$16.36^{**}$","0"
"2","11154.34 11168.34","9630.14 9662.81","8909.51 8960.86","8668.98 8739.01","8489.48 8578.17","8393.38 8500.75","8306.32 8432.36","8270.44 8415.15","8246.65 8410.04","0"
"Fabricated metal products","$413.4^{***}$","$169.85^{***}$","$55.35^{***}$","$57.46^{***}$","$41.94^{***}$","$17.58^{**}$","0","0","0","0"
"4","3193.68 3203.93","2786.23 2810.15","2623.32 2660.89","2574.97 2626.21","2523.12 2588.03","2482.19 2560.76","0","0","0","0"
"Textiles","$367.49^{***}$","$184.96^{***}$","$91.22^{***}$","$48.42^{***}$","$39.36^{***}$","$38.3^{***}$","$20.52^{***}$","$9.11^{}$","0","0"
"6","2771.34 2781.16","2411.37 2434.28","2233.28 2269.29","2147.45 2196.55","2105.29 2167.48","2073.52 2148.8","2041.99 2130.36","2031.06 2132.52","0","0"
