,M=1,M=2,M=3,M=4,M=5
Food products,$1151.8^{***}$,$636.38^{***}$,$225.68^{***}$,$149.64^{***}$,$92.15^{***}$
,8959.4,7812.35,7182.73,6963.95,6821.17
,8973.42,7845.07,7234.14,7034.05,6909.96
Fabricated metal products,$304.35^{***}$,$112.79^{***}$,$50.77^{***}$,$40.6^{***}$,$28.29^{***}$
,2553.1,2255.37,2149.44,2105.34,2071.62
,2563.35,2279.29,2187.02,2156.58,2136.52
Textiles,$275.41^{***}$,$145.35^{***}$,$67.26^{***}$,$47.3^{***}$,$37.31^{***}$
,2228.33,1959.17,1820.7,1758.08,1716.87
,2238.17,1982.11,1856.76,1807.25,1779.16
