"","M=1","M=2","M=3","M=4","M=5"
"Food products","$805.09^{***}$","$478.64^{***}$","$177.08^{***}$","$84.13^{***}$","$80.96^{***}$"
"2","6713.41 6732.11","5910.61 5952.7","5441.07 5506.55","5273.4 5362.27","5197.12 5309.37"
"Fabricated metal products","$204.45^{***}$","$63.57^{***}$","$49.42^{***}$","$28.61^{***}$","$21.44^{**}$"
"4","1912.4 1926.06","1716.55 1747.29","1661.62 1709.44","1620.49 1685.39","1593.63 1675.62"
"Textiles","$203.69^{***}$","$90.69^{***}$","$58.4^{***}$","$32.55^{***}$","$16.18^{}$"
"6","1660.88 1673.99","1466.05 1495.55","1385.28 1431.18","1332.25 1394.54","1303.92 1382.59"
