"","M=1","M=2","M=3","M=4","M=5"
"Food products","$1362.45^{***}$","$507.12^{***}$","$231.07^{***}$","$138.25^{***}$","$73.59^{***}$"
"2","160.004677794239","-1197.6266339882","-1697.02128214535","-1921.23524726943","-2053.72846618373"
"Fabricated metal products","$289.4^{***}$","$104.49^{***}$","$50.18^{***}$","$59.78^{***}$","$162.59^{***}$"
"4","682.270527757379","399.5579631174","302.242366165127","257.534341937292","200.589998529725"
"Textiles","$282.99^{***}$","$108.46^{***}$","$83.38^{***}$","$53.54^{***}$","$22.69^{***}$"
"6","525.037650006783","249.654394182954","147.129026518263","70.725252308267","24.744980466263"
