"","M=1","M=2","M=3","M=4","M=5"
"Food products","$1137.41^{***}$","$626.92^{***}$","$222.54^{***}$","$155.96^{***}$","$93.42^{***}$"
"2","8919.99 8938.69","7790.13 7832.18","7172.05 7237.47","6958.44 7047.24","6811.67 6923.83"
"Fabricated metal products","$315.36^{***}$","$102.8^{***}$","$61.56^{***}$","$38.24^{***}$","$32.37^{***}$"
"4","2552.12 2565.79","2245.36 2276.1","2150.39 2198.22","2098.31 2163.22","2067.09 2149.07"
"Textiles","$278.92^{***}$","$132.7^{***}$","$64.25^{***}$","$49.06^{***}$","$34.58^{***}$"
"6","2208.95 2222.06","1938.9 1968.41","1816 1861.89","1758.92 1821.2","1717.95 1796.62"
