"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15"
"Food products","$1137.41^{***}$","$626.92^{***}$","$222.54^{***}$","$155.96^{***}$","$93.42^{***}$","$70.89^{***}$","$49.05^{***}$","$28.16^{**}$","$28.8^{**}$","$13.1^{}$","0","0","0","0","0"
"2","8919.99","7790.13","7172.05","6958.44","6811.67","6723.2","6659.41","6625","6602.61","6590.29","0","0","0","0","0"
"3","8938.69","7832.18","7237.47","7047.24","6923.83","6858.73","6818.3","6807.26","6808.23","6819.28","0","0","0","0","0"
"Fabricated metal products","$315.36^{***}$","$102.8^{***}$","$61.56^{***}$","$38.24^{***}$","$32.37^{***}$","$21.98^{*}$","$14.28^{}$","$17.54^{}$","$-17.66^{}$","$1.99^{}$","0","0","0","0","0"
"5","2552.12","2245.36","2150.39","2098.31","2067.09","2043.7","2024.48","2025.4","2021.99","2010.34","0","0","0","0","0"
"6","2565.79","2276.1","2198.22","2163.22","2149.07","2142.77","2140.63","2158.62","2172.29","2177.73","0","0","0","0","0"
"Textiles","$278.92^{***}$","$132.7^{***}$","$64.25^{***}$","$49.06^{***}$","$34.58^{***}$","$27.63^{**}$","$9.5^{}$","$14.76^{}$","$3.11^{}$","$-3.57^{}$","0","0","0","0","0"
"8","2208.95","1938.9","1816","1758.92","1717.95","1686.42","1666.16","1648.38","1649.2","1618.82","0","0","0","0","0"
"9","2222.06","1968.41","1861.89","1821.2","1796.62","1781.48","1777.61","1776.23","1793.43","1779.45","0","0","0","0","0"
