"","M=1","M=2","M=3","M=4","M=5"
"Food products","$987.73^{***}$","$395.49^{***}$","$161.64^{***}$","$107.21^{***}$","$57.27^{***}$"
"2","207.208720353432","-777.807848400229","-1165.31260575127","-1320.37875593234","-1422.61152513818"
"Fabricated metal products","$190.19^{***}$","$65.91^{***}$","$34.86^{***}$","$39.42^{***}$","$194.15^{***}$"
"4","542.69385677253","358.10659607079","298.787557159975","269.644284380832","232.150598726049"
"Textiles","$197.28^{***}$","$73.51^{***}$","$67.64^{***}$","$54.05^{***}$","$14.17^{**}$"
"6","404.598643052104","214.596601923057","148.027021524868","84.0510601771938","48.3989841985"
