"","M=1","M=2","M=3","M=4","M=5"
"Food products","$1739.17^{***}$","$597.75^{***}$","$260.68^{***}$","$134.77^{***}$","$120.24^{***}$"
"2","212.10537727352","-1523.43505412675","-2113.20099158161","-2367.83605197817","-2495.87758299642"
"Fabricated metal products","$403.65^{***}$","$141.84^{***}$","$83.31^{***}$","$51.42^{***}$","$159.13^{***}$"
"4","848.981924107636","452.607665087841","317.606441521086","241.595902685686","197.128779319159"
"Textiles","$391.71^{***}$","$138.64^{***}$","$78.65^{***}$","$55.87^{***}$","$25.38^{***}$"
"6","595.046929058282","210.646570175273","79.6015120544538","3.84499769167052","-57.4280500782084"
